	KOS3 ??????????????? 14.06.23 ? ?????????? 271																																					
							N00				N	N41	N42	N43	N44	N45	N46	N47	N48	N49	N50	N52	N53	N54	N55	N56	N57	N58	N59	N61	N62	N63	N64	N65	N66	N67	N68	N69
2014	6	23	18	0	2	240	39754	0	21129	339	53827	41380	40926	41657	41590	41936	41729	41470	41286	41508	40823	46859	41678	41830	42624	42491	42830	42462	45080	51783	48442	45889	46155	44028	46751	46956	44720	42625
2014	6	23	18	0	32	240	39766	0	21124	340	53659	41405	40939	41665	41617	41949	41742	41478	41290	41522	40831	46855	41670	41823	42616	42469	42800	42484	45048	51653	48674	46122	46401	44102	47073	47190	44664	42672
2014	6	23	18	1	2	240	39772	0	21120	340	53396	41431	40945	41663	41616	41943	41753	41474	41293	41521	40842	46855	41672	41822	42594	42454	42795	42479	45006	51558	48856	46323	46635	44175	47363	47347	44602	42704
2014	6	23	18	1	32	240	39765	0	21117	339	53067	41385	40923	41649	41584	41923	41706	41442	41334	41552	40803	46850	41668	41843	42570	42466	42788	42414	44933	51483	48978	46479	46856	44211	47622	47391	44570	42708
2014	6	23	18	2	2	240	39774	0	21114	339	52819	41403	40925	41650	41594	41925	41718	41452	41274	41500	40834	46850	41661	41817	42528	42441	42768	42378	44876	51410	48987	46598	47062	44270	47860	47391	44534	42725
2014	6	23	18	2	32	240	39802	0	21111	339	52680	41420	40923	41643	41581	41905	41707	41434	41276	41505	40827	46840	41649	41800	42510	42420	42751	42323	44833	51319	48774	46530	47080	44240	47979	47341	44434	42741
2014	6	23	18	3	2	240	39855	0	21109	339	52597	41420	40939	41655	41588	41933	41727	41463	41277	41501	40850	46856	41646	41795	42499	42392	42747	42292	44812	51237	48593	46493	47189	44230	48191	47314	44382	42772
2014	6	23	18	3	32	241	40034	0	21107	340	52399	41433	40950	41672	41600	41954	41750	41481	41262	41495	40845	46868	41637	41786	42479	42357	42731	42251	44767	51138	48385	46431	47209	44209	48135	47140	44292	42790
2014	6	23	18	4	2	237	40279	0	21104	340	52175	41393	40938	41667	41591	41952	41745	41484	41278	41502	40831	46869	41642	41798	42446	42337	42705	42182	44720	50997	48120	46292	46960	44153	47714	46838	44175	42789
2014	6	23	18	4	32	239	40437	0	21101	339	51920	41378	40936	41663	41593	41942	41736	41496	41290	41503	40806	46870	41650	41786	42420	42303	42689	42114	44673	50898	47968	46284	46884	44171	47384	46524	44198	42780
2014	6	23	18	5	2	210	40438	0	21097	339	51832	41373	40943	41670	41594	41952	41741	41498	41271	41497	40814	46875	41648	41789	42416	42298	42679	42096	44649	50848	47810	46296	46823	44212	47102	46278	44231	42773
2014	6	23	18	5	32	211	40423	0	21094	339	51710	41383	40928	41659	41603	41954	41738	41491	41257	41508	40810	46885	41654	41814	42386	42325	42670	42061	44611	50772	47652	46242	46752	44209	46842	46003	44241	42754
2014	6	23	18	6	2	210	40470	0	21091	339	51499	41381	40949	41678	41610	41957	41738	41511	41287	41530	40828	46894	41649	41815	42395	42309	42647	42017	44580	50662	47554	46174	46666	44210	46620	45822	44239	42784
2014	6	23	18	6	32	210	40481	0	21089	340	51425	41384	40953	41680	41628	41951	41757	41529	41283	41522	40795	46899	41657	41808	42409	42298	42643	42017	44568	50571	47440	46119	46594	44215	46425	45673	44228	42803
2014	6	23	18	7	2	210	40478	0	21086	340	51310	41397	40939	41664	41608	41947	41741	41518	41307	41545	40815	46913	41658	41825	42423	42308	42651	42025	44548	50509	47339	46071	46535	44215	46246	45493	44242	42831
2014	6	23	18	7	32	167	41239	0	21082	339	51212	41421	40970	41672	41615	41927	41737	41521	41328	41553	40829	46922	41668	41835	42415	42314	42646	41984	44533	50431	47217	45989	46434	44186	46084	45389	44223	42841
2014	6	23	18	8	2	167	40698	0	21080	339	51047	41403	40937	41650	41604	41928	41741	41535	41353	41580	40805	46928	41679	41849	42408	42339	42652	41945	44496	50361	47115	45892	46370	44146	45928	45249	44203	42799
2014	6	23	18	8	32	163	40765	0	21077	338	50874	41400	40926	41651	41611	41940	41739	41520	41361	41584	40809	46925	41676	41878	42405	42359	42656	41873	44456	50296	46992	45828	46304	44134	45791	45069	44206	42817
2014	6	23	18	9	2	162	40830	0	21074	338	50759	41422	40930	41654	41619	41939	41728	41511	41366	41587	40807	46936	41687	41931	42409	42398	42667	41832	44425	50222	46872	45738	46226	44117	45681	44979	44210	42812
2014	6	23	18	9	32	162	40700	0	21071	339	50671	42501	40977	41700	41653	41965	41746	41556	41407	41636	40819	46947	41692	41949	42402	42416	42676	41801	44403	50176	46755	45659	46182	44086	45567	44859	44199	42857
2014	6	23	18	10	2	162	40655	0	21068	339	50597	42127	41026	41725	41673	41983	41769	41560	41388	41615	40823	46937	41686	41930	42415	42414	42672	41788	44372	50116	46698	45610	46192	44075	45538	44938	44171	42876
2014	6	23	18	10	32	161	40635	0	21065	339	50544	41956	41063	41737	41667	41991	41766	41552	41393	41616	40828	46930	41686	41915	42398	42404	42673	41758	44341	50070	46680	45608	46228	44061	45498	44932	44195	42890
2014	6	23	18	11	2	161	40599	0	21062	340	50470	41886	41076	41737	41690	41995	41784	41561	41413	41637	40828	46935	41676	41929	42416	42403	42662	41729	44318	49987	46541	45516	46090	44039	45426	44906	44135	42905
2014	6	23	18	11	32	160	40594	0	21059	339	50435	41820	41081	41760	41698	42020	41790	41576	41410	41643	40833	46944	41681	41935	42414	42394	42656	41716	44310	49914	46422	45402	45966	43996	45330	44841	44092	42897
2014	6	23	18	12	2	160	40619	0	21057	339	50387	41787	41106	41771	41725	42324	41825	41759	41537	41742	40813	47006	41716	41981	42427	42417	42680	41704	44300	49873	46350	45361	45920	43959	45258	44764	44084	42881
2014	6	23	18	12	32	159	40600	0	21054	339	50312	41747	41098	41767	41721	42213	41829	41843	42619	42374	40808	47039	41737	42050	42388	42464	42697	41673	44270	49836	46280	45292	45881	43914	45188	44678	44059	42855
2014	6	23	18	13	2	160	40660	0	21051	339	50278	41795	41140	41819	41777	42661	41955	41898	42186	42162	40824	47092	41770	42087	42405	42507	42734	41683	44273	49809	46203	45304	45843	43904	45134	44625	44056	42842
2014	6	23	18	13	32	158	40731	0	21048	337	50182	41764	41159	41825	41761	42714	41976	41838	41950	42022	40827	47062	41767	42059	42390	42503	42725	41649	44248	49778	46132	45278	45804	43904	45090	44574	44030	42829
2014	6	23	18	14	2	158	40643	0	21045	336	50024	41702	41127	41818	41725	42577	41939	41762	41797	41891	40822	47019	41753	41983	42359	42439	42681	41579	44209	49717	46009	45179	45681	43853	45015	44514	43891	42811
2014	6	23	18	14	32	158	40602	0	21042	336	49913	41675	41103	41815	41710	42496	41945	41739	41710	41820	40812	46987	41737	41962	42350	42435	42679	41534	44167	49675	45927	45106	45713	43822	44975	44480	43863	42790
